C:\Data\IMG\center_2020_01_20_14_09_06_721.jpg, C:\Data\IMG\left_2020_01_20_14_09_06_721.jpg, C:\Data\IMG\right_2020_01_20_14_09_06_721.jpg, 0, 0, 0, 7.800182E-05
C:\Data\IMG\center_2020_01_20_14_09_06_819.jpg, C:\Data\IMG\left_2020_01_20_14_09_06_819.jpg, C:\Data\IMG\right_2020_01_20_14_09_06_819.jpg, 0, 0, 0, 7.969102E-05
C:\Data\IMG\center_2020_01_20_14_09_06_921.jpg, C:\Data\IMG\left_2020_01_20_14_09_06_921.jpg, C:\Data\IMG\right_2020_01_20_14_09_06_921.jpg, 0, 0, 0, 7.839267E-05
C:\Data\IMG\center_2020_01_20_14_09_07_025.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_025.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_025.jpg, 0, 0, 0, 7.883579E-05
C:\Data\IMG\center_2020_01_20_14_09_07_125.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_125.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_125.jpg, 0, 0, 0, 7.945787E-05
C:\Data\IMG\center_2020_01_20_14_09_07_230.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_230.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_230.jpg, 0, 0, 0, 7.836376E-05
C:\Data\IMG\center_2020_01_20_14_09_07_331.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_331.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_331.jpg, 0, 0, 0, 7.812311E-05
C:\Data\IMG\center_2020_01_20_14_09_07_434.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_434.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_434.jpg, 0, 0, 0, 7.816118E-05
C:\Data\IMG\center_2020_01_20_14_09_07_538.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_538.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_538.jpg, 0, 0, 0, 7.809743E-05
C:\Data\IMG\center_2020_01_20_14_09_07_641.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_641.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_641.jpg, 0, 0, 0, 7.799209E-05
C:\Data\IMG\center_2020_01_20_14_09_07_748.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_748.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_748.jpg, 0, 0, 0, 8.040853E-05
C:\Data\IMG\center_2020_01_20_14_09_07_849.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_849.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_849.jpg, 0, 0.2647701, 0, 0.2132647
C:\Data\IMG\center_2020_01_20_14_09_07_954.jpg, C:\Data\IMG\left_2020_01_20_14_09_07_954.jpg, C:\Data\IMG\right_2020_01_20_14_09_07_954.jpg, 0, 0.5643367, 0, 0.7811376
C:\Data\IMG\center_2020_01_20_14_09_08_057.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_057.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_057.jpg, 0, 0.9246085, 0, 1.983535
C:\Data\IMG\center_2020_01_20_14_09_08_162.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_162.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_162.jpg, 0, 1, 0, 3.12154
C:\Data\IMG\center_2020_01_20_14_09_08_267.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_267.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_267.jpg, -0.2950485, 1, 0, 4.28467
C:\Data\IMG\center_2020_01_20_14_09_08_367.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_367.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_367.jpg, -0.0337815, 1, 0, 5.446951
C:\Data\IMG\center_2020_01_20_14_09_08_467.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_467.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_467.jpg, 0, 1, 0, 6.59692
C:\Data\IMG\center_2020_01_20_14_09_08_569.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_569.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_569.jpg, 0, 1, 0, 7.737465
C:\Data\IMG\center_2020_01_20_14_09_08_674.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_674.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_674.jpg, -0.0682947, 1, 0, 8.866075
C:\Data\IMG\center_2020_01_20_14_09_08_779.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_779.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_779.jpg, -0.4369866, 1, 0, 10.1321
C:\Data\IMG\center_2020_01_20_14_09_08_881.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_881.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_881.jpg, -0.5543529, 1, 0, 11.1547
C:\Data\IMG\center_2020_01_20_14_09_08_983.jpg, C:\Data\IMG\left_2020_01_20_14_09_08_983.jpg, C:\Data\IMG\right_2020_01_20_14_09_08_983.jpg, -0.2684955, 1, 0, 12.05766
C:\Data\IMG\center_2020_01_20_14_09_09_085.jpg, C:\Data\IMG\left_2020_01_20_14_09_09_085.jpg, C:\Data\IMG\right_2020_01_20_14_09_09_085.jpg, 0, 1, 0, 13.37619
C:\Data\IMG\center_2020_01_20_14_09_09_188.jpg, C:\Data\IMG\left_2020_01_20_14_09_09_188.jpg, C:\Data\IMG\right_2020_01_20_14_09_09_188.jpg, 0, 1, 0, 14.33002
C:\Data\IMG\center_2020_01_20_14_09_09_289.jpg, C:\Data\IMG\left_2020_01_20_14_09_09_289.jpg, C:\Data\IMG\right_2020_01_20_14_09_09_289.jpg, 0, 1, 0, 15.48374
C:\Data\IMG\center_2020_01_20_14_09_09_393.jpg, C:\Data\IMG\left_2020_01_20_14_09_09_393.jpg, C:\Data\IMG\right_2020_01_20_14_09_09_393.jpg, 0, 1, 0, 16.48785
C:\Data\IMG\center_2020_01_20_14_09_09_494.jpg, C:\Data\IMG\left_2020_01_20_14_09_09_494.jpg, C:\Data\IMG\right_2020_01_20_14_09_09_494.jpg, -0.2866719, 1, 0, 17.53094
